Cliente;Vendedor;CNPJ;Grupo Economico
SUPERMERCADO GEOVANNA LTDA;CAROLINA DOS SANTOS ROCHA;1,89006E+12;SUPERMERCADO GEOVANNA
SUPERMERCADO GEOVANNA LTDA;CAROLINA DOS SANTOS ROCHA;1,89006E+12;SUPERMERCADO GEOVANNA
SUPERMERCADO GEOVANNA LTDA;CAROLINA DOS SANTOS ROCHA;1,89006E+12;SUPERMERCADO GEOVANNA
SUPERMERCADO SUPERBOX LEMOS LTDA - ME;TELEVENDAS - DA TERRINHA;6,15705E+13;SUPER BOX
SUPERVAREJAO SAUDE LTDA - 01;INES MARTIN;6,2402E+13;SUPERVAREJAO SAUDE
SUPERVAREJAO SAUDE LTDA - 01;INES MARTIN;6,2402E+13;SUPERVAREJAO SAUDE
SUPERVAREJAO SAUDE LTDA - 01;INES MARTIN;6,2402E+13;SUPERVAREJAO SAUDE
SUPERVAREJAO SAUDE LTDA - 01;INES MARTIN;6,2402E+13;SUPERVAREJAO SAUDE
SUPERVAREJAO SAUDE LTDA - 01;INES MARTIN;6,2402E+13;SUPERVAREJAO SAUDE
TONYNETE COMERCIAL LTDA;TELEVENDAS - DA TERRINHA;4,18396E+12;TONYNETE
TONYNETE COMERCIAL LTDA;ANTONINO FLAVIO;4,18396E+12;TONYNETE
JD IDEAL COMERCIO DE ALIMENTOS LTDA - ME;CAROLINA DOS SANTOS ROCHA;1,30187E+12;JD IDEAL
JD IDEAL COMERCIO DE ALIMENTOS LTDA - ME;CAROLINA DOS SANTOS ROCHA;1,30187E+12;JD IDEAL
JD MALIA COMERCIO DE ALIMENTOS LTDA EPP;CAROLINA DOS SANTOS ROCHA;5,89674E+12;JD MALIA
JD MALIA COMERCIO DE ALIMENTOS LTDA EPP;CAROLINA DOS SANTOS ROCHA;5,89674E+12;JD MALIA
MINI MERCADO PARQUE COCAIA II LTDA;JOSE ARTENCIO - DS;7,8127E+12;MERCADO GRAJAU
