Numero Pedido Cliente;NF CF;Cliente;Vendedor;Emissao
1063150;195678;ROLDAO - PRAIA GRANDE 02;CAIO VINICIUS AMORIM;11/09/2026
1063149;196135;ROLDAO - VILA EMA;CAIO VINICIUS AMORIM;11/09/2026
1063148;195752;ROLDAO - BONSUCESSO;CAIO VINICIUS AMORIM;11/09/2026
1063147;195771;ROLDAO - SANTANA;CAIO VINICIUS AMORIM;11/09/2026
1063146;196300;ROLDAO - OSASCO 02;CAIO VINICIUS AMORIM;11/09/2026
1063145;195488;ROMA EMPORIO;GUSTAVO GOMES;11/09/2026
1063144;195677;ROLDAO - SAO VICENTE;CAIO VINICIUS AMORIM;11/09/2026
1063143;195768;LEE SUPERMERCADO;GUSTAVO GOMES;11/09/2026
1063142;195770;KING MERCADINHO;GUSTAVO GOMES;11/09/2026
1063141;195895;OTIMO SUPERMERCADO;FRANCISCO DUARTE - LUIZ DUARTE;11/09/2026
1063140;195814;ROLDAO - INDAIATUBA;CAIO VINICIUS AMORIM;11/09/2026
1063139;195980;DOCES ZAPITH - 	VILA ANA MARIA;AROLDO BATISTA SANTOS;11/09/2026
1063138;196986;ROLDAO - ITU;CAIO VINICIUS AMORIM;11/09/2026
1063137;196987;ROLDAO - ITU;CAIO VINICIUS AMORIM;11/09/2026
1063136;195761;ROLDAO - TIRADENTES;CAIO VINICIUS AMORIM;11/09/2026
1063135;195503;ROLDAO - GUARUJA;CAIO VINICIUS AMORIM;11/09/2026
1063134;195487;ZAPITH DOCES - JARDIM DANFER;AROLDO BATISTA SANTOS;11/09/2026
1063133;195726;ROLDAO - FRANCO DA ROCHA;CAIO VINICIUS AMORIM;11/09/2026
1063132;196122;DOIS PARCEIROS - LJ 01;RONILSON RIBEIRO;11/09/2026
1063131;195679;SUPERMERCADO FIGUEROA - LJ 23;RONILSON RIBEIRO;11/09/2026
1063130;195666;SOU CESTAS;CARLOS FERREIRA;11/09/2026
1063128;195664;BDML - LJ 01;CARLOS FERREIRA;11/09/2026
1063127;195663;BDML - LJ 01;CARLOS FERREIRA;11/09/2026
1063125;195718;SUPERMERCADO CARNES BOI NELORE;WAGNER DA SILVA LIMA;11/09/2026
1063124;195827;ROLDAO - SOROCABA;CAIO VINICIUS AMORIM;11/09/2026
1063123;195906;MARTE PAES;JOSE ROBERTO DENIZIO;11/09/2026
1063122;195486;ZAPITH DOCES - JARDIM DANFER;AROLDO BATISTA SANTOS;11/09/2026
1063121;196428;MEGA 100 - COTIA;EDSON MALAGUTTI;11/09/2026
1063120;195762;R.I.J UTILIDADES DOMESTICAS;AROLDO BATISTA SANTOS;11/09/2026
1063119;196662;ROLDAO - SANTO AMARO;CAIO VINICIUS AMORIM;11/09/2026
1063115;197215;ROLDAO - ATIBAIA;CAIO VINICIUS AMORIM;11/09/2026
1063114;195873;LOJAO VARIEDADE NAZARETH;JOSE ROBERTO DENIZIO;11/09/2026
1063112;196240;ROLDAO - CUPECE;CAIO VINICIUS AMORIM;11/09/2026
1063111;195670;ALTO DA PONTE  - SJC;RAPHAEL COUTINHO ESPINDOLA;11/09/2026
1063110;195667;ALTO DA PONTE -  JAMBEIRO;RAPHAEL COUTINHO ESPINDOLA;11/09/2026
1063109;195668;ALTO DA PONTE - TAUBATE;RAPHAEL COUTINHO ESPINDOLA;11/09/2026
1063108;195645;COMERCIAL RIVIEIRA;AROLDO BATISTA SANTOS;11/09/2026
1063107;195544;ESPORTE CLUBE PINHEIROS;INES MARTIN;11/09/2026
1063106;195541;MINI MERCADO GAIJIN;INES MARTIN;11/09/2026
1063105;195543;MINI MERCADO GAIJIN;INES MARTIN;11/09/2026
1063104;195765;R.I.J UTILIDADES DOMESTICAS;AROLDO BATISTA SANTOS;11/09/2026
1063103;196088;ROLDAO - MOOCA;CAIO VINICIUS AMORIM;11/09/2026
1063099;195549;ROLDAO - BUTANTA - MATRIZ;CAIO VINICIUS AMORIM;11/09/2026
1063098;195766;R.I.J UTILIDADES DOMESTICAS;AROLDO BATISTA SANTOS;11/09/2026
1063094;195824;BOM LUGAR - 28;PAULO COSTA;11/09/2026
1063090;195582;ROLDAO - IPIRANGA;CAIO VINICIUS AMORIM;11/09/2026
1063087;196073;BOM LUGAR - 18;PAULO COSTA;11/09/2026
1063086;196017;ROLDAO - OSASCO;CAIO VINICIUS AMORIM;11/09/2026
1063085;195785;ALCANCE PLUS COMERCIO VAREJISTA;JOSE ARTENCIO;11/09/2026
1063084;195786;ALCANCE PLUS COMERCIO VAREJISTA;JOSE ARTENCIO;11/09/2026
1063083;197096;ROLDAO - CAMPO LIMPO;CAIO VINICIUS AMORIM;11/09/2026
1063082;195764;R.I.J UTILIDADES DOMESTICAS;AROLDO BATISTA SANTOS;11/09/2026
1063081;196707;ROLDAO - JUNDIAI;CAIO VINICIUS AMORIM;11/09/2026
1063080;195961;MORADA DE JUNDIAI;EDSON MALAGUTTI;11/09/2026
1063079;196207;CHOCOBISCO;EDSON MALAGUTTI;11/09/2026
1063076;195793;ROLDAO - GUARULHOS;CAIO VINICIUS AMORIM;11/09/2026
1063075;195646;COMERCIAL RIVIEIRA;AROLDO BATISTA SANTOS;11/09/2026
1063073;195512;BOM LUGAR - 31;PAULO COSTA;11/09/2026
1063071;195624;SUPERMERCADO BARRACAO  - LJ 01;DAIANE CRISTINA DE OLIVEIRA;11/09/2026
1063070;195625;SUPERMERCADO BARRACAO  - LJ 01;DAIANE CRISTINA DE OLIVEIRA;11/09/2026
1063069;195626;SUPERMERCADO BARRACAO - CD FILIAL LJ 02;DAIANE CRISTINA DE OLIVEIRA;11/09/2026
1063068;195627;SUPERMERCADO BARRACAO - CD FILIAL LJ 02;DAIANE CRISTINA DE OLIVEIRA;11/09/2026
1063067;195429;J E COMERCIO;VENDEDOR INTERNO;11/09/2026
1063064;195872;LOJAO VARIEDADE NAZARETH;JOSE ROBERTO DENIZIO;11/09/2026
1063063;15208;GLEZ IMPORTACAO E EXPORTACAO LDA;FERNANDO ARRUDA;11/09/2026
1063057;195719;SUPERMERCADO CARNES BOI NELORE;WAGNER DA SILVA LIMA;11/09/2026
1063056;196313;SUPERMERCADO LEONELLO;ADRIANO CEZAR GOMES;11/09/2026
1063054;195540;NIVVI MARKET;ROBSON BERTOLINI;11/09/2026
1063053;195662;BDML - LJ 01;CARLOS FERREIRA;11/09/2026
1063050;196311;SILVESTRE ALIMENTOS;GILMERIO QUEIROZ - GERENTE DE AREA;11/09/2026
1063047;196121;SUPERMERCADO NOVO JAN;JOSE SOARES;11/09/2026
1063046;195676;MERCADO NOSSO LAR;JOSE SOARES;11/09/2026
1063045;195661;BDML - LJ 01;CARLOS FERREIRA;11/09/2026
1063044;195675;SUPERMERCADO ZERO HORA - PRAIA GRANDE;JOSE SOARES;11/09/2026
1063043;196556;REDE DE DISTRIBUICAO ZEFERINO;ADRIANO CEZAR GOMES;11/09/2026
1063041;195674;SUPERMERCADO ZERO HORA - PRAIA GRANDE;JOSE SOARES;11/09/2026
1063037;195680;MERCADO NOSSO LAR;JOSE SOARES;11/09/2026
1063035;195660;BDML - LJ 01;CARLOS FERREIRA;11/09/2026
1063034;195830;AGUIA ATACAREJO;CELSO NUNES TEIXEIRA;11/09/2026
1063033;195829;CORUJA SUPERMERCADOS;CELSO NUNES TEIXEIRA;11/09/2026
1063032;195831;GIRAFA SUPERMERCADOS;CELSO NUNES TEIXEIRA;11/09/2026
1063031;195832;RINO ATACAREJO;CELSO NUNES TEIXEIRA;11/09/2026
1063030;40644;DA TERRINHA - FILIAL SP;PAULO ALEX;11/09/2026
1063029;196120;SUPERMERCADO NOVO JAN;JOSE SOARES;11/09/2026
1063028;195628;HE DISTRIBUICAO;DAIANE CRISTINA DE OLIVEIRA;11/09/2026
1063027;195629;HE DISTRIBUICAO;DAIANE CRISTINA DE OLIVEIRA;11/09/2026
1063026;195665;INOVA - SANTANA DE PARNAIBA - FILIAL 1;FRANCISCO ANACLETO;11/09/2026
1063025;195803;ALVARO - LJ 04;ERICK MOREIRA;11/09/2026
1063023;195804;ALVARO - LJ 04;ERICK MOREIRA;11/09/2026
1063021;196340;SABORES DA TERRINHA - LOJA 03;ELTON;11/09/2026
1063020;196217;MERCADO CAMPINAS III;KALIEL DE CALDA LEITE;11/09/2026
1063019;196216;MERCADO CAMPINAS II;KALIEL DE CALDA LEITE;11/09/2026
1063018;196215;MERCADO CAMPINAS II;KALIEL DE CALDA LEITE;11/09/2026
1063017;196276;CASA DE CARNES JDS;CARLOS FERREIRA;11/09/2026
1063016;195542;MULTYPLI SUPERMERCADOS;PAULO SERGIO;11/09/2026
1063015;195510;SACOLAO SAO JORGE - LEOPOLDINA;CARLOS FERREIRA;11/09/2026
1063014;195506;SACOLAO PIO XI;CARLOS FERREIRA;11/09/2026
1063013;195682;KACULA - 01;LEANDRO GOLDINHO LOPES;11/09/2026
1063012;195932;KACULA - 02;LEANDRO GOLDINHO LOPES;11/09/2026
1063011;195936;KACULA - 03;LEANDRO GOLDINHO LOPES;11/09/2026
1063010;195617;KACULA - 05;LEANDRO GOLDINHO LOPES;11/09/2026
1063009;196000;ALVARO - LJ 01;ERICK MOREIRA;11/09/2026
1063008;195545;MULTYPLI SUPERMERCADOS;PAULO SERGIO;11/09/2026
1063007;40643;DA TERRINHA - FILIAL SP;PAULO ALEX;11/09/2026
1063005;196205;MERCADAO CARNES - FIRMINOPOLIS;FELIPE GOMES;11/09/2026
1063004;195428;2JM AMIDOS;VENDEDOR INTERNO;11/09/2026
1063003;195581;HIROTA EXPRESS - CD 98;GILMERIO QUEIROZ - GERENTE DE AREA;11/09/2026
1063002;195547;HIROTA EXPRESS - CD CEAGESP;GILMERIO QUEIROZ - GERENTE DE AREA;11/09/2026
1063001;15207;GLEZ IMPORTACAO E EXPORTACAO LDA;FERNANDO ARRUDA;11/09/2026
1062998;195684;PEDREIRA - 930 CD;ERICK MOREIRA;11/09/2026
1062992;195300;DAVO SUPERMERCADOS - LOJA 34;GILMERIO QUEIROZ - GERENTE DE AREA;11/09/2026
1062989;195807;KACULA - CD;LEANDRO GOLDINHO LOPES;11/09/2026
1062987;195935;KACULA - 03;LEANDRO GOLDINHO LOPES;11/09/2026
1062986;195862;BOM LUGAR - 13;PAULO COSTA;11/09/2026
1062985;195866;BOM LUGAR - 13;PAULO COSTA;11/09/2026
1062983;195514;BOM LUGAR - 16;PAULO COSTA;11/09/2026
1062982;195778;SUPERMERCADO OURINHOS;FELIPE GOMES;11/09/2026
1062981;195720;KACULA - 04;LEANDRO GOLDINHO LOPES;11/09/2026
1062980;195643;BERGAMINI - EDU CHAVES;FELIPE GOMES;11/09/2026
1062979;195616;KACULA - 05;LEANDRO GOLDINHO LOPES;11/09/2026
1062978;195640;BERGAMINI - JACANA;FELIPE GOMES;11/09/2026
1062977;195933;KACULA - 02;LEANDRO GOLDINHO LOPES;11/09/2026
1062975;195681;KACULA - 01;LEANDRO GOLDINHO LOPES;11/09/2026
1062974;195609;NICOLAU MAX;ROGERIO APARECIDO DA SILVA RODRIGUES;11/09/2026
1062972;195354;J ANTONELLI SUPERMERCADOS;DAIANE CRISTINA DE OLIVEIRA;11/09/2026
1062971;195511;PADARIA LIDER 10 - GRANJA OLGA;PAULO COSTA;11/09/2026
1062970;195515;CD - REAL ALIMENTOS;PAULO COSTA;11/09/2026
1062968;195630;SUPERMERCADO TIBA  - DOURADO;DAIANE CRISTINA DE OLIVEIRA;11/09/2026
1062967;195631;SUPERMERCADO TIBA  - DOURADO;DAIANE CRISTINA DE OLIVEIRA;11/09/2026
1062965;196396;JOSELITA ALV;WAGNER DA SILVA LIMA;11/09/2026
1062964;196395;JOSELITA ALV;WAGNER DA SILVA LIMA;11/09/2026
1062963;195348;CD MUFFATO - MIRASSOL;FABIO HENRIQUE MONTEIRO;11/09/2026
1062930;195717;BOI ARTES;WAGNER DA SILVA LIMA;11/09/2026
1062897;195355;J ANTONELLI SUPERMERCADOS;DAIANE CRISTINA DE OLIVEIRA;11/09/2026
1062837;195865;TORRA PRECO;WILSON PEREIRA;11/09/2026
1062836;195425;ALCANCE PLUS COMERCIO VAREJISTA;JOSE ARTENCIO;11/09/2026
1062835;195881;SUPERMERCADO PEPE;SILVANO ARRUDA;11/09/2026
1062833;195864;TORRA PRECO;WILSON PEREIRA;11/09/2026
1062832;196332;N.D.M. - DISTRIBUIDO;RODOLFO QUERINO LUIZ - GERENTE DE AREA;11/09/2026
1062831;196331;N.D.M. - DISTRIBUIDO;RODOLFO QUERINO LUIZ - GERENTE DE AREA;11/09/2026
1062830;196330;N.D.M. - DISTRIBUIDO;RODOLFO QUERINO LUIZ - GERENTE DE AREA;11/09/2026
1062829;196325;N.D.M. - DISTRIBUIDO;RODOLFO QUERINO LUIZ - GERENTE DE AREA;11/09/2026
1062828;196324;N.D.M. - DISTRIBUIDO;RODOLFO QUERINO LUIZ - GERENTE DE AREA;11/09/2026
1062827;196329;N.D.M. - DISTRIBUIDO;RODOLFO QUERINO LUIZ - GERENTE DE AREA;11/09/2026
1062826;195363;TEXAS CARNES - V. MASCOTE;INES MARTIN;11/09/2026
1062825;196328;N.D.M. - DISTRIBUIDO;RODOLFO QUERINO LUIZ - GERENTE DE AREA;11/09/2026
1062824;196326;N.D.M. - DISTRIBUIDO;RODOLFO QUERINO LUIZ - GERENTE DE AREA;11/09/2026
1062823;195505;SACOLAO PIO XI;CARLOS FERREIRA;11/09/2026
1062822;196327;N.D.M. - DISTRIBUIDO;RODOLFO QUERINO LUIZ - GERENTE DE AREA;11/09/2026
1062821;196011;FRUTERRA COMERCIO;JOSUE EVANGELISTA;11/09/2026
1062819;196275;SUPERMERCADO JAGUARE;CARLOS FERREIRA;11/09/2026
1062818;195851;SUPERMERCADO RODRIGUES MRM;CARLOS FERREIRA;11/09/2026
1062817;195377;COMPRE MAIS - SANTA MARIA;CARLOS FERREIRA;11/09/2026
1062813;195508;SUPERMERCADO SUPER VILE;CARLOS FERREIRA;11/09/2026
1062812;195509;SACOLAO SAO JORGE - LEOPOLDINA;CARLOS FERREIRA;11/09/2026
1062811;195384;COMPRE MAIS - NOVO HORIZONTE;CARLOS FERREIRA;11/09/2026
1062809;195850;DISTRIBUIDORA MARGARETE;CARLOS FERREIRA;11/09/2026
1062808;196013;SUPERMERCADO FORTALEZA;CARLOS FERREIRA;11/09/2026
1062807;196015;SUPERMERCADO FORTALEZA;CARLOS FERREIRA;11/09/2026
1062806;196177;ESTRELA SUPERMERCADO;CARLOS FERREIRA;11/09/2026
1062805;196179;ESTRELA SUPERMERCADO;CARLOS FERREIRA;11/09/2026
1062804;195507;SUPERMERCADO SUPER VILE;CARLOS FERREIRA;11/09/2026
1062803;195222;SUPERMERCADO PAO DE MEL;CLAUDIO AKIO SOGA;11/09/2026
1062802;195223;SUPERMERCADO PAO DE MEL;CLAUDIO AKIO SOGA;11/09/2026
1062800;195644;BERGAMINI - EDU CHAVES;FELIPE GOMES;11/09/2026
1062799;195641;BERGAMINI - JACANA;FELIPE GOMES;11/09/2026
1062798;195524;SUPERMERCADO OURINHOS;FELIPE GOMES;11/09/2026
1062797;196212;MAGNANIMO - LJ 07;KALIEL DE CALDA LEITE;11/09/2026
1062796;195361;TEODULO - BROOKLIN;CLEO CAVALCANTI;11/09/2026
1062795;195464;MERCADINHO TOP;JOSE GOMES DOS S.;11/09/2026
1062793;196220;MAGNANIMO - LJ 09;KALIEL DE CALDA LEITE;11/09/2026
1062792;195259;SUPERMERCADO CANOSSA  - LJ 02;KALIEL DE CALDA LEITE;11/09/2026
1062791;196218;MAGNANIMO - LJ 05;KALIEL DE CALDA LEITE;11/09/2026
1062788;196211;POPULAR DE REGISTRO;KALIEL DE CALDA LEITE;11/09/2026
1062787;195460;ROSETTI & KARINA;JUAREZ COSTA;11/09/2026
1062786;195462;SUPERMERCADO KOMAPE;JUAREZ COSTA;11/09/2026
1062785;195463;SUPERMERCADO KOMAPE;JUAREZ COSTA;11/09/2026
1062784;195278;FORTE ALIANCA;JUAREZ COSTA;11/09/2026
1062783;195279;FORTE ALIANCA;JUAREZ COSTA;11/09/2026
1062782;195288;SUPERMERCADO VILA NOVA YORK;AROLDO BATISTA SANTOS;11/09/2026
1062781;195525;SUPERMERCADO OURINHOS;FELIPE GOMES;11/09/2026
1062780;195255;SUPERMERCADO CANOSSA  - LJ 03;KALIEL DE CALDA LEITE;11/09/2026
1062779;195258;SUPERMERCADO CANOSSA  - LJ 03;KALIEL DE CALDA LEITE;11/09/2026
1062778;195257;SUPERMERCADO CANOSSA  - LJ 03;KALIEL DE CALDA LEITE;11/09/2026
1062777;195499;QUITANDAO;JOSE SOARES;11/09/2026
1062776;195256;SUPERMERCADO CANOSSA  - LJ 02;KALIEL DE CALDA LEITE;11/09/2026
1062775;195251;SUPERMERCADO CANOSSA  - LJ 01;KALIEL DE CALDA LEITE;11/09/2026
1062774;195253;SUPERMERCADO CANOSSA  - LJ 01;KALIEL DE CALDA LEITE;11/09/2026
1062773;195252;SUPERMERCADO CANOSSA  - LJ 01;KALIEL DE CALDA LEITE;11/09/2026
1062772;195254;SUPERMERCADO CANOSSA  - LJ 02;KALIEL DE CALDA LEITE;11/09/2026
1062771;195642;BERGAMINI - JACANA;FELIPE GOMES;11/09/2026
1062770;195378;COMPRE MAIS - NOVO HORIZONTE;CARLOS FERREIRA;11/09/2026
1062769;195339;MERCADO VITORIA;ROGERIO APARECIDO DA SILVA RODRIGUES;11/09/2026
1062768;195333;SUPERMERCADO VICTORIA;ROGERIO APARECIDO DA SILVA RODRIGUES;11/09/2026
1062767;195500;QUITANDAO;JOSE SOARES;11/09/2026
1062766;195324;COFESA - 06;DANILO DE ALMEIDA SANTOS;11/09/2026
1062765;195380;COMPRE MAIS - SANTA MARIA;CARLOS FERREIRA;11/09/2026
1062733;195376;SUPERMERCADO JAGUARE;CARLOS FERREIRA;11/09/2026
1062699;195340;CD MUFFATO - MIRASSOL;FABIO HENRIQUE MONTEIRO;11/09/2026
1062666;195189;VALTER PINHEIRO;VALTER PINHEIRO;11/09/2026
1062600;195274;DALBEN - VALINHOS;OSNEY RICARDO;11/09/2026
1062567;195273;DALBEN - VALINHOS;OSNEY RICARDO;11/09/2026
1062535;195972;DALBEN - MANSOES;OSNEY RICARDO;11/09/2026
1062534;195971;DALBEN - MANSOES;OSNEY RICARDO;11/09/2026
1062524;195212;DALBEN - BARAO;OSNEY RICARDO;11/09/2026
1062523;195210;DALBEN - BARAO;OSNEY RICARDO;11/09/2026
1062522;195211;DALBEN - BARAO;OSNEY RICARDO;11/09/2026
1062521;195226;DALBEN - TAQUARAL;OSNEY RICARDO;10/09/2026
1062520;195225;DALBEN - TAQUARAL;OSNEY RICARDO;10/09/2026
1062519;195224;REDE ASP ENXUTO - CAMPINAS - 0007-80;OSNEY RICARDO;10/09/2026
1062518;195346;REDE ASP ENXUTO - COSMOPOLIS - 0006-07;OSNEY RICARDO;10/09/2026
1062517;195532;REDE ASP FLEX PEDREIRA 1 - LJ13;OSNEY RICARDO;10/09/2026
1062516;195530;REDE ASP FLEX JAGUARIUNA 2 - LJ 11;OSNEY RICARDO;10/09/2026
1062515;195533;REDE ASP FLEX POSSE 1 - LJ 12;OSNEY RICARDO;10/09/2026
1062514;195275;REDE ASP FLEX ITATIBA - LJ 08;OSNEY RICARDO;10/09/2026
1062513;195531;REDE ASP FLEX JAGUARIUNA 1- LJ10;OSNEY RICARDO;10/09/2026
1062512;195474;REDE ASP FLEX VALINHOS - LJ 06;OSNEY RICARDO;10/09/2026
1062511;195476;REDE ASP FLEX VINHEDO - LJ 07;OSNEY RICARDO;10/09/2026
1062510;195475;REDE ASP - LJ 03;OSNEY RICARDO;10/09/2026
1062509;195272;REDE ASP - LJ 05;OSNEY RICARDO;10/09/2026
1062508;195334;SUPERMERCADO VICTORIA;ROGERIO APARECIDO DA SILVA RODRIGUES;10/09/2026
1062507;195477;REDE ASP  - LJ 01;OSNEY RICARDO;10/09/2026
1062506;195323;COFESA - 06;DANILO DE ALMEIDA SANTOS;10/09/2026
1062505;195338;MERCADO VITORIA;ROGERIO APARECIDO DA SILVA RODRIGUES;10/09/2026
1062504;195521;TRIMAIS PERI;DANIEL CAMACHO;10/09/2026
1062503;195221;SUPERMERCADO PAO DE MEL;CLAUDIO AKIO SOGA;10/09/2026
1062502;195537;REI DO FIFO II;FRANCISCO ANACLETO;10/09/2026
1062501;195535;REI DO FIFO II;FRANCISCO ANACLETO;10/09/2026
1062500;195371;TRIMAIS FURNAS;DANIEL CAMACHO;10/09/2026
1062499;195287;MERCADO COMBATE;AROLDO BATISTA SANTOS;10/09/2026
1062498;195286;SUPERMERCADO VILA NOVA YORK;AROLDO BATISTA SANTOS;10/09/2026
1062497;195301;TRIMAIS TUCURUVI;DANIEL CAMACHO;10/09/2026
1062496;195349;TRIMAIS LAUZANE;DANIEL CAMACHO;10/09/2026
1062494;195342;SM RILU LOJA 1;EDERVAL DONIZETE DA SILVA;10/09/2026
1062493;195341;SM RILU LOJA 1;EDERVAL DONIZETE DA SILVA;10/09/2026
1062492;195260;BIG CD;RENATO SANTO MICHELMANN;10/09/2026
1062491;195261;BIG CD;RENATO SANTO MICHELMANN;10/09/2026
1062490;195819;SUPERMERCADO PISTONI;EDSON MALAGUTTI;10/09/2026
1062488;195345;SUPERMERCADO SCOTON - SAO PEDRO;CELSO NUNES TEIXEIRA;10/09/2026
1062487;195833;ARGOS ATACADISTA;CELSO NUNES TEIXEIRA;10/09/2026
1062486;195820;SUPERMERCADO PISTONI;EDSON MALAGUTTI;10/09/2026
1062485;195353;OPINI - LJ 02;DAIANE CRISTINA DE OLIVEIRA;10/09/2026
1062484;195352;OPINI - LJ 02;DAIANE CRISTINA DE OLIVEIRA;10/09/2026
1062483;195213;CHOCOBISCO;EDSON MALAGUTTI;10/09/2026
1062482;195214;CHOCOBISCO;EDSON MALAGUTTI;10/09/2026
1062481;195357;OPINI - LJ 01;DAIANE CRISTINA DE OLIVEIRA;10/09/2026
1062480;195749;GIKANY TRANSPORTE;ERICK MOREIRA;10/09/2026
1062479;195310;ALVARO - LJ 01;ERICK MOREIRA;10/09/2026
1062478;195307;ALVARO - LJ 02;ERICK MOREIRA;10/09/2026
1062477;195308;ALVARO - LJ 03;ERICK MOREIRA;10/09/2026
1062476;195802;ALVARO - LJ 04;ERICK MOREIRA;10/09/2026
1062475;195750;MERCADO KIODAI - ITAPECERICA;ERICK MOREIRA;10/09/2026
1062474;195459;ROSETTI & KARINA;JUAREZ COSTA;10/09/2026
1062473;195390;MERCADO CERQUEIRA - JARDIM RODOLFO PIRANI;JOSE ROBERTO DENIZIO;10/09/2026
1062472;195373;MAREQUINHA;JOSE ROBERTO DENIZIO;10/09/2026
1062471;195369;MERCADO CENTRAL;CAROLINA DOS SANTOS ROCHA;10/09/2026
1062470;195370;MERCADO CENTRAL;CAROLINA DOS SANTOS ROCHA;10/09/2026
1062469;195395;SUPERMERCADO PEPE;SILVANO ARRUDA;10/09/2026
1062468;196155;TRIMAIS TUCURUVI;DANIEL CAMACHO;10/09/2026
1062467;196343;TRIMAIS PERI;DANIEL CAMACHO;10/09/2026
1062466;195392;SUPERMERCADO PEPE;SILVANO ARRUDA;10/09/2026
1062465;196344;TRIMAIS LAUZANE;DANIEL CAMACHO;10/09/2026
1062464;195394;SUPERMERCADO PEPE;SILVANO ARRUDA;10/09/2026
1062463;195276;MERCADO DURVAL;ERICK MOREIRA;10/09/2026
1062462;195751;RED BOI - NOVA METRO;ERICK MOREIRA;10/09/2026
1062461;195801;RED BOI - EMBU GUACU;ERICK MOREIRA;10/09/2026
1062460;195356;OPINI - LJ 01;DAIANE CRISTINA DE OLIVEIRA;10/09/2026
1062459;195375;TAIT - VILA PERUS;FRANCISCO ANACLETO;10/09/2026
1062458;195372;MAREQUINHA;JOSE ROBERTO DENIZIO;10/09/2026
1062457;195216;CHOCOBISCO;EDSON MALAGUTTI;10/09/2026
1062456;195215;CHOCOBISCO;EDSON MALAGUTTI;10/09/2026
1062455;195745;RED BOI - VALO VELHO;ERICK MOREIRA;10/09/2026
1062454;195746;RED BOI - VALO VELHO;ERICK MOREIRA;10/09/2026
1062453;195747;RED BOI - NOVA METRO;ERICK MOREIRA;10/09/2026
1062451;195362;TEODULO - BROOKLIN;CLEO CAVALCANTI;10/09/2026
1062450;195999;ANDARI MINIMERCADO;FLAVIA SIQUEIRA;10/09/2026
1062449;195835;BALAN SUPERMERCADO;CELSO NUNES TEIXEIRA;10/09/2026
1062448;195836;BALAN SUPERMERCADO;CELSO NUNES TEIXEIRA;10/09/2026
1062447;195527;MINI MERCADO SERRA DOURADA;FLAVIA SIQUEIRA;10/09/2026
1062446;195280;MOINHO SUPERMERCADO;ALEXANDRE VIANA;10/09/2026
1062445;195303;RED BOI - SAO JOSE;ERICK MOREIRA;10/09/2026
1062444;195306;REDE BOI - TEOTONIO;ERICK MOREIRA;10/09/2026
1062443;195391;MERCADO CERQUEIRA - JARDIM RODOLFO PIRANI;JOSE ROBERTO DENIZIO;10/09/2026
1062442;195350;OPINI - LJ 02;DAIANE CRISTINA DE OLIVEIRA;10/09/2026
1062441;195351;OPINI - LJ 02;DAIANE CRISTINA DE OLIVEIRA;10/09/2026
1062440;195191;ARMAZEM NORDESTINO E PRODUTOS NATURAIS;MARIO MIZUKA;10/09/2026
1062439;195998;ANDARI MINIMERCADO;FLAVIA SIQUEIRA;10/09/2026
1062438;195365;GUSTAVO MARQUES;ALEXANDRE VIANA;10/09/2026
1062437;195526;MINI MERCADO SERRA DOURADA;FLAVIA SIQUEIRA;10/09/2026
1062436;195396;MERCADO PONTO IDEAL;JOSE ROBERTO DENIZIO;10/09/2026
1062435;195269;FINELLI & MORAIS - LJ 02;RENATO SANTO MICHELMANN;10/09/2026
1062434;195268;FINELLI & MORAIS - LJ 01;RENATO SANTO MICHELMANN;10/09/2026
1062433;195305;REDE BOI - TEOTONIO;ERICK MOREIRA;10/09/2026
1062432;195344;SUPERMERCADO SCOTON - SAO PEDRO;CELSO NUNES TEIXEIRA;10/09/2026
1062431;195834;ARGOS ATACADISTA;CELSO NUNES TEIXEIRA;10/09/2026
1062430;195304;RED BOI - SAO JOSE;ERICK MOREIRA;10/09/2026
1062429;195262;BIG CD;RENATO SANTO MICHELMANN;10/09/2026
1062428;195360;REDE CONFIANCA - CD;DAIANE CRISTINA DE OLIVEIRA;10/09/2026
1062427;195281;MOINHO SUPERMERCADO;ALEXANDRE VIANA;10/09/2026
1062426;195818;SUPERMERCADO PISTONI;EDSON MALAGUTTI;10/09/2026
1062425;195821;SUPERMERCADO PISTONI;EDSON MALAGUTTI;10/09/2026
1062424;195393;MERCADO PONTO IDEAL;JOSE ROBERTO DENIZIO;10/09/2026
1062423;196187;HORT FRUTI ORIENTE;VALTER AMARAL MACHADO;10/09/2026
1062422;195283;MERCADO ALIADO;GUSTAVO GOMES;10/09/2026
1062421;195218;AMIZADE SUPERMERCADO;GUSTAVO GOMES;10/09/2026
1062420;195248;CARINHOSO SUPERMERCADO;GUSTAVO GOMES;10/09/2026
1062418;195263;BIG CD;RENATO SANTO MICHELMANN;10/09/2026
1062417;195364;GUSTAVO MARQUES;ALEXANDRE VIANA;10/09/2026
1062416;15206;TIPIOG GMBH;FERNANDO ARRUDA;10/09/2026
1062415;195343;SUPERMERCADOS MIALICH;DAIANE CRISTINA DE OLIVEIRA;10/09/2026
1062414;195309;REDE BOI - TEXANA CIDADE DUTRA;ERICK MOREIRA;10/09/2026
1062413;195294;SO OFERTAS - LJ 01;OSNEY RICARDO;10/09/2026
1062412;195311;REDE BOI - TEXANA CIDADE DUTRA;ERICK MOREIRA;10/09/2026
1062411;657;DA TERRINHA - FILIAL SP;VENDEDOR INTERNO;10/09/2026
